Position,Artist,Category,Followers,Biggest Platform
2,Justin Bieber,Music,"455,000,000",Instagram
3,Ariana Grande,Music,"429,000,000",Instagram
4,Selena Gomez,Music,"425,000,000",Instagram
5,Taylor Swift,Music,"361,000,000",Instagram
7,Katy Perry,Music,"338,000,000",Instagram
9,Rihanna,Music,"332,000,000",Twitter
13,Shakira,Music,"282,000,000",Facebook
14,Jennifer Lopez,Music,"277,000,000",Instagram
15,Beyoncé,Music,"267,000,000",Instagram
17,Miley Cyrus,Music,"235,000,000",Instagram
18,Nicki Minaj,Music,"232,000,000",Instagram
22,Demi Lovato,Music,"211,000,000",Instagram
23,Lady Gaga,Music,"210,000,000",Twitter
26,Eminem,Music,"194,000,000",Facebook
27,Drake,Music,"192,000,000",Instagram
29,Bruno Mars,Music,"191,000,000",Facebook
30,Chris Brown,Music,"187,000,000",Instagram
33,Justin Timberlake,Music,"175,000,000",Twitter
34,Billie Eilish,Music,"171,000,000",Instagram
37,Cardi B,Music,"160,000,000",Instagram
39,Adele,Music,"156,000,000",Facebook
42,Wiz Khalifa,Music,"142,000,000",Facebook
45,Snoop Dogg,Music,"138,000,000",Instagram
47,Britney Spears,Music,"137,000,000",Twitter
48,Shawn Mendes,Music,"136,000,000",Instagram
