Position,Artist,Song,Streams
1,Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,883369738
2,Juice WRLD ,Lucid Dreams,864832399
3,Lil Uzi Vert ,XO TOUR Llif3,781153024
4,J. Cole ,No Role Modelz,734857487
5,Post Malone ,rockstar,718865961
6,Travis Scott ,goosebumps,672972704
7,The Weeknd ,Blinding Lights,644287953
8,XXXTENTACION ,Jocelyn Flores,624457164
9,XXXTENTACION ,SAD!,619879245
10,Juice WRLD ,All Girls Are The Same,613872384
11,Kendrick Lamar ,HUMBLE.,606305588
12,Post Malone ,Circles,598521764
13,Travis Scott ,SICKO MODE,586638599
14,Lil Baby ,Drip Too Hard (Lil Baby & Gunna),583443174
15,Post Malone ,Congratulations,546036924
16,Post Malone ,I Fall Apart,543144261
17,Glass Animals ,Heat Waves,540754791
18,Drake ,God's Plan,534994242
19,Roddy Ricch ,The Box,504210201
20,J. Cole ,MIDDLE CHILD,481985952
21,XXXTENTACION ,Fuck Love,473417295
22,Post Malone ,Better Now,463551468
23,Drake ,One Dance,454267392
24,Olivia Rodrigo ,good 4 u,454100610
25,Juice WRLD ,Robbery,443773199
26,Billie Eilish ,lovely,437911914
27,Joji ,SLOW DANCING IN THE DARK,437333177
28,XXXTENTACION ,Moonlight,431568186
29,Offset ,Ric Flair Drip (& Metro Boomin),427614856
30,The Kid LAROI ,Stay,426712325
31,Lewis Capaldi ,Someone You Loved,410725370
32,Harry Styles ,Watermelon Sugar,409073262
33,Post Malone ,Wow.,405812776
34,Khalid ,Location,403645089
35,The Neighbourhood ,Sweater Weather,400804036
36,Lil Baby ,Yes Indeed,400193604
37,The Chainsmokers ,Closer,397735618
38,Post Malone ,Psycho,396525691
39,The Weeknd ,The Hills,392023505
40,Dua Lipa ,Levitating,387860108
41,Billie Eilish ,bad guy,385813103
42,Morgan Wallen ,Whiskey Glasses,385368118
43,Olivia Rodrigo ,drivers license,381085710
44,Doja Cat ,Kiss Me More,376965422
45,DaBaby ,ROCKSTAR,373388283
46,Lil Nas X ,INDUSTRY BABY,373383279
47,The Weeknd ,Starboy,368997138
48,Childish Gambino ,Redbone,363834232
49,Lil Mosey ,Blueberry Faygo,355016723
50,Meek Mill ,Going Bad,349994217
51,Khalid ,Young Dumb & Broke,349563888
52,Harry Styles ,As It Was,348668080
53,Ed Sheeran ,Shape of You,348283656
54,Ariana Grande ,7 rings,332694161
55,Billie Eilish ,when the party's over,331192577
56,Kendrick Lamar ,LOVE. FEAT. ZACARI.,329243971
57,Cardi B ,I Like It,329059657
