Position,Song,Streams,Artist,Release Date
1,Shape of You,3327000,Ed Sheeran,1/6/2017
2,Blinding Lights,3323000,The Weeknd,11/29/2019
3,Dance Monkey,2721000,Tones And I,5/10/2019
4,Someone You Loved,2588000,Lewis Capaldi,11/8/2018
5,Rockstar,2570000,Post Malone featuring 21 Savage,9/15/2017
6,Sunflower,2502000,Post Malone and Swae Lee,10/18/2018
7,One Dance,2491000,Drake featuring Wizkid and Kyla,4/5/2016
8,Closer,2430000,The Chainsmokers featuring Halsey,7/29/2016
9,Believer,2326000,Imagine Dragons,2/1/2017
10,Señorita,2305000,Shawn Mendes and Camila Cabello,6/21/2019
11,Stay,2295000,The Kid Laroi and Justin Bieber,7/9/2021
12,Perfect,2267000,Ed Sheeran,3/3/2017
13,Say You Won't Let Go,2193000,James Arthur,9/9/2016
14,Heat Waves,2190000,Glass Animals,6/29/2020
15,Bad Guy,2181000,Billie Eilish,3/29/2019
16,Thinking Out Loud,2131000,Ed Sheeran,6/20/2014
17,Lucid Dreams,2119000,Juice WRLD,5/4/2018
18,Starboy,2110000,The Weeknd featuring Daft Punk,9/21/2016
19,Don't Start Now,2100000,Dua Lipa,11/1/2019
20,God's Plan,2079000,Drake,1/19/2018
21,Lovely,2059000,Billie Eilish and Khalid,4/19/2018
22,Watermelon Sugar,2052000,Harry Styles,5/15/2020
23,Photograph,2036000,Ed Sheeran,6/20/2014
24,Bohemian Rhapsody,2006000,Queen,10/31/1975
25,Something Just Like This,1999000,The Chainsmokers and Coldplay,2/22/2017
26,Shallow,1970000,Lady Gaga and Bradley Cooper,9/27/2018
27,Love Yourself,1948000,Justin Bieber,11/9/2015
28,SAD!,1947000,XXXTentacion,3/1/2018
29,Circles,1928000,Post Malone,8/30/2019
30,Take Me to Church,1916000,Hozier,9/13/2013
31,All of Me,1915000,John Legend,8/12/2013
32,Sweater Weather,1899000,The Neighbourhood,3/28/2012
33,Thunder,1874000,Imagine Dragons,4/27/2017
34,7 Rings,1868000,Ariana Grande,1/18/2019
35,Goosebumps,1863000,Travis Scott featuring Kendrick Lamar,9/2/2016
36,Jocelyn Flores,1861000,XXXTentacion,10/31/2017
37,Havana,1834000,Camila Cabello featuring Young Thug,8/3/2017
38,XO Tour Llif3,1808000,Lil Uzi Vert,3/24/2017
39,Stressed Out,1808000,Twenty One Pilots,4/28/2015
40,New Rules,1789000,Dua Lipa,6/2/2017
41,Happier,1778000,Marshmello and Bastille,8/17/2018
42,Counting Stars,1767000,OneRepublic,3/25/2013
43,Humble,1762000,Kendrick Lamar,3/30/2017
44,Sicko Mode,1757000,Travis Scott featuring Drake,8/3/2018
45,Let Her Go,1756000,Passenger,7/24/2012
46,Wake Me Up,1756000,Avicii,6/17/2013
47,Riptide,1734000,Vance Joy,5/21/2013
48,The Hills,1721000,The Weeknd,5/27/2015
49,Sorry,1721000,Justin Bieber,10/22/2015
50,As It Was,1716000,Harry Styles,4/1/2022
51,Can't Hold Us,1702000,Macklemore & Ryan Lewis featuring Ray Dalton,8/16/2011
52,Let Me Love You,1701000,DJ Snake featuring Justin Bieber,8/5/2016
53,Good 4 U,1699000,Olivia Rodrigo,5/14/2021
54,Lean On,1698000,Major Lazer and DJ Snake featuring MØ,3/2/2015
55,Roses (Imanbek Remix),1691000,Saint Jhn with Imanbek,9/18/2019
56,Better Now,1679000,Post Malone,4/27/2018
57,One Kiss,1678000,Calvin Harris and Dua Lipa,4/6/2018
