	Position	Artist	Song	Release Date	Biggest Platform	Streams	Followers	Subscribers	Views	Video Count	Authentic engagement	Engagement avg
0	1	Post Malone	Sunflower SpiderMan: Into the SpiderVerse	NaN	NaN	883369738.0	NaN	NaN	NaN	NaN	NaN	NaN
1	2	Juice WRLD	Lucid Dreams	NaN	NaN	864832399.0	NaN	NaN	NaN	NaN	NaN	NaN
2	3	Lil Uzi Vert	XO TOUR Llif3	NaN	NaN	781153024.0	NaN	NaN	NaN	NaN	NaN	NaN
3	4	J. Cole	No Role Modelz	NaN	NaN	734857487.0	NaN	NaN	NaN	NaN	NaN	NaN
4	5	Post Malone	rockstar	NaN	NaN	718865961.0	NaN	NaN	NaN	NaN	NaN	NaN
5	6	Travis Scott	goosebumps	NaN	NaN	672972704.0	NaN	NaN	NaN	NaN	NaN	NaN
6	7	The Weeknd	Blinding Lights	NaN	NaN	644287953.0	NaN	NaN	NaN	NaN	NaN	NaN
7	8	XXXTENTACION	Jocelyn Flores	NaN	NaN	624457164.0	NaN	NaN	NaN	NaN	NaN	NaN
8	9	XXXTENTACION	SAD!	NaN	NaN	619879245.0	NaN	NaN	NaN	NaN	NaN	NaN
9	10	Juice WRLD	All Girls Are The Same	NaN	NaN	613872384.0	NaN	NaN	NaN	NaN	NaN	NaN
10	11	Kendrick Lamar	HUMBLE.	NaN	NaN	606305588.0	NaN	NaN	NaN	NaN	NaN	NaN
11	12	Post Malone	Circles	NaN	NaN	598521764.0	NaN	NaN	NaN	NaN	NaN	NaN
12	13	Travis Scott	SICKO MODE	NaN	NaN	586638599.0	NaN	NaN	NaN	NaN	NaN	NaN
13	14	Lil Baby	Drip Too Hard (Lil Baby & Gunna)	NaN	NaN	583443174.0	NaN	NaN	NaN	NaN	NaN	NaN
14	15	Post Malone	Congratulations	NaN	NaN	546036924.0	NaN	NaN	NaN	NaN	NaN	NaN
15	16	Post Malone	I Fall Apart	NaN	NaN	543144261.0	NaN	NaN	NaN	NaN	NaN	NaN
16	17	Glass Animals	Heat Waves	NaN	NaN	540754791.0	NaN	NaN	NaN	NaN	NaN	NaN
17	18	Drake	God's Plan	NaN	NaN	534994242.0	NaN	NaN	NaN	NaN	NaN	NaN
18	19	Roddy Ricch	The Box	NaN	NaN	504210201.0	NaN	NaN	NaN	NaN	NaN	NaN
19	20	J. Cole	MIDDLE CHILD	NaN	NaN	481985952.0	NaN	NaN	NaN	NaN	NaN	NaN
20	21	XXXTENTACION	Fuck Love	NaN	NaN	473417295.0	NaN	NaN	NaN	NaN	NaN	NaN
21	22	Post Malone	Better Now	NaN	NaN	463551468.0	NaN	NaN	NaN	NaN	NaN	NaN
22	23	Drake	One Dance	NaN	NaN	454267392.0	NaN	NaN	NaN	NaN	NaN	NaN
23	24	Olivia Rodrigo	good 4 u	NaN	NaN	454100610.0	NaN	NaN	NaN	NaN	NaN	NaN
24	25	Juice WRLD	Robbery	NaN	NaN	443773199.0	NaN	NaN	NaN	NaN	NaN	NaN
25	26	Billie Eilish	lovely	NaN	NaN	437911914.0	NaN	NaN	NaN	NaN	NaN	NaN
26	27	Joji	SLOW DANCING IN THE DARK	NaN	NaN	437333177.0	NaN	NaN	NaN	NaN	NaN	NaN
27	28	XXXTENTACION	Moonlight	NaN	NaN	431568186.0	NaN	NaN	NaN	NaN	NaN	NaN
28	29	Offset	Ric Flair Drip (& Metro Boomin)	NaN	NaN	427614856.0	NaN	NaN	NaN	NaN	NaN	NaN
29	30	The Kid LAROI	Stay	NaN	NaN	426712325.0	NaN	NaN	NaN	NaN	NaN	NaN
30	31	Lewis Capaldi	Someone You Loved	NaN	NaN	410725370.0	NaN	NaN	NaN	NaN	NaN	NaN
31	32	Harry Styles	Watermelon Sugar	NaN	NaN	409073262.0	NaN	NaN	NaN	NaN	NaN	NaN
32	33	Post Malone	Wow.	NaN	NaN	405812776.0	NaN	NaN	NaN	NaN	NaN	NaN
33	34	Khalid	Location	NaN	NaN	403645089.0	NaN	NaN	NaN	NaN	NaN	NaN
34	35	The Neighbourhood	Sweater Weather	NaN	NaN	400804036.0	NaN	NaN	NaN	NaN	NaN	NaN
35	36	Lil Baby	Yes Indeed	NaN	NaN	400193604.0	NaN	NaN	NaN	NaN	NaN	NaN
36	37	The Chainsmokers	Closer	NaN	NaN	397735618.0	NaN	NaN	NaN	NaN	NaN	NaN
37	38	Post Malone	Psycho	NaN	NaN	396525691.0	NaN	NaN	NaN	NaN	NaN	NaN
38	39	The Weeknd	The Hills	NaN	NaN	392023505.0	NaN	NaN	NaN	NaN	NaN	NaN
39	40	Dua Lipa	Levitating	NaN	NaN	387860108.0	NaN	NaN	NaN	NaN	NaN	NaN
40	41	Billie Eilish	bad guy	NaN	NaN	385813103.0	NaN	NaN	NaN	NaN	NaN	NaN
41	42	Morgan Wallen	Whiskey Glasses	NaN	NaN	385368118.0	NaN	NaN	NaN	NaN	NaN	NaN
42	43	Olivia Rodrigo	drivers license	NaN	NaN	381085710.0	NaN	NaN	NaN	NaN	NaN	NaN
43	44	Doja Cat	Kiss Me More	NaN	NaN	376965422.0	NaN	NaN	NaN	NaN	NaN	NaN
44	45	DaBaby	ROCKSTAR	NaN	NaN	373388283.0	NaN	NaN	NaN	NaN	NaN	NaN
45	46	Lil Nas X	INDUSTRY BABY	NaN	NaN	373383279.0	NaN	NaN	NaN	NaN	NaN	NaN
46	47	The Weeknd	Starboy	NaN	NaN	368997138.0	NaN	NaN	NaN	NaN	NaN	NaN
47	48	Childish Gambino	Redbone	NaN	NaN	363834232.0	NaN	NaN	NaN	NaN	NaN	NaN
48	49	Lil Mosey	Blueberry Faygo	NaN	NaN	355016723.0	NaN	NaN	NaN	NaN	NaN	NaN
49	50	Meek Mill	Going Bad	NaN	NaN	349994217.0	NaN	NaN	NaN	NaN	NaN	NaN
50	51	Khalid	Young Dumb & Broke	NaN	NaN	349563888.0	NaN	NaN	NaN	NaN	NaN	NaN
51	52	Harry Styles	As It Was	NaN	NaN	348668080.0	NaN	NaN	NaN	NaN	NaN	NaN
52	53	Ed Sheeran	Shape of You	NaN	NaN	348283656.0	NaN	NaN	NaN	NaN	NaN	NaN
