Country,Position,Account,Artist,Link,Category,Followers,Audience Country,Authentic engagement,Engagement avg,Scraped
All,9,arianagrande,Ariana Grande,https://www.instagram.com/arianagrande/,Music,294100000,United States,1700000,2400000,2/7/2022 16:50
All,10,billieeilish,BILLIE EILISH,https://www.instagram.com/billieeilish/,Music,100000000,United States,5300000,7000000,2/7/2022 16:50
All,12,lalalalisa_m,LISA,https://www.instagram.com/lalalalisa_m/,Music,73100000,Indonesia,7500000,8600000,2/7/2022 16:50
All,13,jennierubyjane,J,https://www.instagram.com/jennierubyjane/,Music,62300000,Indonesia,6400000,7600000,2/7/2022 16:50
All,20,justinbieber,Justin Bieber,https://www.instagram.com/justinbieber/,Music,219800000,India,1200000,1800000,2/7/2022 16:50
All,22,roses_are_rosie,ROSÉ,https://www.instagram.com/roses_are_rosie/,Music,55100000,Indonesia,5500000,6400000,2/7/2022 16:50
All,24,nickiminaj,Barbie,https://www.instagram.com/nickiminaj/,Music,174000000,United States,1200000,1900000,2/7/2022 16:50
All,30,zayn,Zayn Malik,https://www.instagram.com/zayn/,Music,44500000,India,3800000,6000000,2/7/2022 16:50
All,31,champagnepapi,champagnepapi,https://www.instagram.com/champagnepapi/,Music,102600000,United States,1500000,2500000,2/7/2022 16:50
All,35,badbunnypr,,https://www.instagram.com/badbunnypr/,Music,37800000,United States,4100000,6500000,2/7/2022 16:50
All,37,adele,Adele,https://www.instagram.com/adele/,Music,49100000,United States,2800000,3900000,2/7/2022 16:50
All,42,karolg,KAROL G,https://www.instagram.com/karolg/,Music,47300000,Mexico,2600000,3200000,2/7/2022 16:50
All,47,dualipa,DUA LIPA,https://www.instagram.com/dualipa/,Music,78700000,Mexico,1200000,1400000,2/7/2022 16:50
All,50,mileycyrus,Miley Cyrus,https://www.instagram.com/mileycyrus/,Music,160200000,United States,501600,667900,2/7/2022 16:50
All,56,shawnmendes,Shawn Mendes,https://www.instagram.com/shawnmendes/,Music,66500000,Brazil,923900,1400000,2/7/2022 16:50
All,63,lelepons,Lele Pons,https://www.instagram.com/lelepons/,Music,47300000,Mexico,1000000,1600000,2/7/2022 16:50
All,68,ddlovato,Demi Lovato,https://www.instagram.com/ddlovato/,Music,125800000,United States,439400,564800,2/7/2022 16:50
All,69,blackpinkofficial,BLΛƆKPIИK,https://www.instagram.com/blackpinkofficial/,Music,45200000,Indonesia,1200000,1500000,2/7/2022 16:50
All,76,real__pcy,EXO_CY,https://www.instagram.com/real__pcy/,Music,23600000,Indonesia,2200000,2700000,2/7/2022 16:50
All,77,katyperry,KATY PERRY,https://www.instagram.com/katyperry/,Music,151900000,Brazil,319500,408100,2/7/2022 16:50
All,79,camila_cabello,camila,https://www.instagram.com/camila_cabello/,Music,60000000,Brazil,747600,1000000,2/7/2022 16:50
All,82,dojacat,Doja Cat,https://www.instagram.com/dojacat/,Music,19700000,United States,2100000,2900000,2/7/2022 16:50
All,89,oohsehun,SEHUN,https://www.instagram.com/oohsehun/,Music,22800000,Indonesia,1900000,2400000,2/7/2022 16:50
All,90,niallhoran,Niall Horan,https://www.instagram.com/niallhoran/,Music,29200000,United States,1300000,1800000,2/7/2022 16:50
All,101,iamhalsey,halsey,https://www.instagram.com/iamhalsey/,Music,28300000,United States,1300000,1700000,2/7/2022 16:50
All,106,theweeknd,The Weeknd,https://www.instagram.com/theweeknd/,Music,36700000,United States,858800,1200000,2/7/2022 16:50
All,110,nehakakkar,Neha Kakkar (Mrs. Singh),https://www.instagram.com/nehakakkar/,Music,67600000,India,511500,595900,2/7/2022 16:50
All,112,chrisbrownofficial,BREEZY,https://www.instagram.com/chrisbrownofficial/,Music,103900000,United States,247700,388400,2/7/2022 16:50
All,114,realstraykids,Stray Kids,https://www.instagram.com/realstraykids/,Music,19100000,Indonesia,1600000,2000000,2/7/2022 16:50
All,118,shakira,Shakira,https://www.instagram.com/shakira/,Music,71600000,India,367500,500700,2/7/2022 16:50
All,119,louist91,Louis Tomlinson,https://www.instagram.com/louist91/,Music,18100000,Brazil,1400000,2000000,2/7/2022 16:50
All,123,dannapaola,Danna Paola,https://www.instagram.com/dannapaola/,Music,33200000,Mexico,705800,1000000,2/7/2022 16:50
All,129,sabrinacarpenter,Sabrina Carpenter,https://www.instagram.com/sabrinacarpenter/,Music,26600000,Brazil,1000000,1200000,2/7/2022 16:50
All,132,maluma,MALUMA,https://www.instagram.com/maluma/,Music,60900000,Italy,341400,529300,2/7/2022 16:50
All,136,jacksonwang852g7,Jackson Wang 王嘉爾 왕잭슨,https://www.instagram.com/jacksonwang852g7/,Music,27000000,China,934200,1100000,2/7/2022 16:50
All,137,madisonbeer,Madison Beer,https://www.instagram.com/madisonbeer/,Music,30100000,United States,665500,992500,2/7/2022 16:50
All,150,rosalia.vt,LA ROSALÍA,https://www.instagram.com/rosalia.vt/,Music,18600000,Spain,1100000,1500000,2/7/2022 16:50
