Position,Artist,Subscribers,Views,Video Count,Category,Release Date
1,T-Series,222000000,19845000000,17317,Music,2006
12,Zee Music Company,86700000,49067711243,6603,Music,2014
19,BANGTANTV,70000000,17471090750,1787,Music,2012
20,Justin Bieber,69700000,28567240999,247,Music,2007
21,HYBE LABELS,67800000,24013849120,971,Music,2008
22,Canal KondZilla,65900000,36576704790,2313,Music,2012
24,Shemaroo Filmi Gaane,61300000,28579945247,7884,Music,2010
31,Wave Music,53400000,37230876862,18622,Music,2014
32,EminemMusic,53000000,23717869724,140,Music,2007
34,Tips Official,52800000,27883080973,3612,Music,2007
35,T-Series Bhakti Sagar,52500000,24278576197,23870,Music,2011
36,Sony Music India,52400000,24856641898,3180,Music,2009
37,Ed Sheeran,52200000,27881781761,253,Music,2006
38,El Reino Infantil,51700000,49895247456,1309,Music,2011
39,Ariana Grande,51600000,22158094076,146,Music,2007
40,LooLoo Kids - Nursery Rhymes and Children's Songs,49800000,29013984394,553,Music,2014
42,Taylor Swift,47100000,25563795998,189,Music,2006
43,Billie Eilish,46200000,11999349578,48,Music,2013
54,Katy Perry,43200000,23966278157,118,Music,2008
55,SonyMusicIndiaVEVO,42700000,23991411417,3309,Music,2009
56,Bad Bunny,42500000,23748805401,123,Music,2014
57,Alan Walker,42200000,11731228995,318,Music,2012
61,Speed Records,40800000,24558172214,10327,Music,2012
73,GR6 EXPLODE,37600000,23912270526,4180,Music,2014
74,XXXTENTACION,37600000,9725253939,126,Music,2015
75,One Direction,37400000,12698961117,157,Music,2010
79,Daddy Yankee,36800000,20479831396,423,Music,2011
83,Maroon 5,36000000,20838666788,163,Music,2006
89,Bruno Mars,35300000,17395825825,97,Music,2006
90,Ozuna,35200000,21048440606,137,Music,2016
93,Goldmines Gaane Sune Ansune,34300000,14212434275,3171,Music,2015
95,J Balvin,33600000,21489532517,134,Music,2011
104,Desi Music Factory,33000000,9481987642,125,Music,2014
106,Geet MP3,32800000,11575367431,563,Music,2016
108,NoCopyrightSounds,32700000,10436881173,1116,Music,2011
110,T-Series Apna Punjab,32300000,18933492606,6524,Music,2011
115,JustinBieberVEVO,31800000,25304909929,205,Music,2009
117,La Granja de Zenón,31500000,22808879757,558,Music,2013
